Date,Open,High,Low,Close,High_Low_Diff,Volume
30/03/2015,242.878998,249.242004,239.214005,247.526001,10.027999,23009600
31/03/2015,247.453995,248.729996,242.738998,244.223999,5.990998,22672000
1/04/2015,244.223007,247.541,241.160004,247.272003,6.380996,22877200
2/04/2015,247.089005,254.460999,245.416,253.005005,9.044999,26272600
3/04/2015,253.074005,256.042999,251.878998,254.322006,4.164001,23146600
4/04/2015,254.291,255.257996,251.100006,253.697006,4.15799,12493500
5/04/2015,253.761002,260.674988,251.942001,260.597992,8.732987,19649200
6/04/2015,260.721008,261.798004,254.574997,255.492004,7.223007,20034200
7/04/2015,255.274002,255.804993,252.205002,253.179993,3.599991,18467400
8/04/2015,253.063995,253.847,244.214996,245.022003,9.632004,30086400
9/04/2015,244.751007,246.117996,239.399994,243.675995,6.718002,21643500
10/04/2015,243.694,243.694,232.770996,236.072006,10.923004,28882000
11/04/2015,236.016006,239.537003,234.175003,236.552002,5.362,16365200
12/04/2015,236.535004,237.727997,233.494995,236.153,4.233002,12387900
13/04/2015,235.949997,236.934998,221.996002,224.587006,14.938996,31181800
14/04/2015,224.759003,224.975998,216.322998,219.158997,8.653,31719000
15/04/2015,219.072998,223.832993,218.649002,223.832993,5.183991,22562000
16/04/2015,223.917007,229.671997,223.917007,228.572998,5.75499,24805400
17/04/2015,228.574997,228.906006,221.942001,222.882004,6.964005,20429800
18/04/2015,222.852997,224.315994,220.876007,223.356003,3.439987,12939000
19/04/2015,223.455994,226.352997,222.373001,222.600006,3.979996,15021500
20/04/2015,222.612,226.350998,221.977005,224.626007,4.373993,18364700
21/04/2015,224.619995,235.268997,224.300995,235.268997,10.968002,24978000
22/04/2015,235.602005,237.908997,233.475998,234.175995,4.432999,23847900
23/04/2015,234.052994,236.475006,233.199005,236.462006,3.276001,17036000
24/04/2015,235.970001,236.304993,229.932999,231.268005,6.371994,21448700
25/04/2015,231.235001,232.561005,226.337006,226.389999,6.223999,13957200
